ru_toxic_comment	ru_neutral_comment
Хуевенько мне, друзья, хуевенько (Инфекция сука. Чахну на глазах.	Плохо мне друзья плохо ( инфекция, чахну на глазах.
Бля завтра ехать в Бурсу пиздец не хочю((	Не хочу ехать завтра в бурсу
Бля завтра ехать в Бурсу пиздец не хочю((	Завтра ехать в Бурсу, очень не хочется
Бля завтра ехать в Бурсу пиздец не хочю((	завтра ехать в Бурсу очень не хочу((
Ели дошол до бабушке:(нога пиздец как болит,алина люблю тебя,больше спасибо тебе	Еле дошёл до бабушки, очень болит нога, алина люблю тебя, большое спасибо тебе
Ели дошол до бабушке:(нога пиздец как болит,алина люблю тебя,больше спасибо тебе	Ели дошол до бабушке:(нога болит,алина люблю тебя,больше спасибо тебе
опять все едут в Москву на хип-хоп интернешенал, СУКА ИНТЕРЕСНО КОГО ЖЕ НЕ ОТПУСТИТ МАМА ОПЯТЬ!((((	опять все едут в Москву на хип-хоп интернешенал, ИНТЕРЕСНО КОГО ЖЕ НЕ ОТПУСТИТ МАМА ОПЯТЬ!((((
опять все едут в Москву на хип-хоп интернешенал, СУКА ИНТЕРЕСНО КОГО ЖЕ НЕ ОТПУСТИТ МАМА ОПЯТЬ!((((	Снова все едут в Москву на хип-хоп интернешнал. Интересно,кого не отпустит мама?
завтро утром опять пизды будем получать от нашего любимого тренера(	Завтра утром тренер будет нас ругать
завтро утром опять пизды будем получать от нашего любимого тренера(	Завтра утром опять разбор полётов с тренером
просто Бавария уже так вросла в первую строку, что пиздец. а на пятки страшно наступает Боруссия М. :(	Просто Бавария уже так вросла в первую строку, что уже все ясно. А на пятки страшно наступает Боруссия М
ссоры в семье заебали уже(когда же это прекратится..	Ссоры в семье надоели уже. Когда это прекратится
ссоры в семье заебали уже(когда же это прекратится..	Ссоры в сёмью надоели уже, когда же это прекратится
бляяя, у меня истерикаменя хуесоской назвали( обидно пиздеец	Меня оскорбили очень плохим словом и мне обидно.
бляяя, у меня истерикаменя хуесоской назвали( обидно пиздеец	у меня истерика. меня обозвали( очень обидно
Ходят слухи ,что Найл и Барбара встречаются ..Нет Найл она модель !!!!Обида ебаная ;(Сорри за мат	Ходят слухи,что найл и Барбара встречаются.
Ходят слухи ,что Найл и Барбара встречаются ..Нет Найл она модель !!!!Обида ебаная ;(Сорри за мат	Ходят слухи якобы Найл и Барбара встречаются.  Найл все же модель! Даже обидно как-то!
Ходят слухи ,что Найл и Барбара встречаются ..Нет Найл она модель !!!!Обида ебаная ;(Сорри за мат	Ходят слухи ,что Найл и Барбара встречаются ..Нет Найл она модель , обидно то как
желудочный грипп, это пиздец товарищи((((	желудочный грипп, это ужасно товарищи((((
желудочный грипп, это пиздец товарищи((((	Желудочный грипп,это не очень хорошо
желудочный грипп, это пиздец товарищи((((	Желудочный грипп, это ужас товарищи((((
Блядь, поранил ноги на Барьерах, обе... Теперь шишки и синяки с кровью(((	Поранил ноги на Барьерах, обе... Теперь шишки и синяки с кровью
Блядь, поранил ноги на Барьерах, обе... Теперь шишки и синяки с кровью(((	Поранил ноги на Барьерах, обе. Теперь шишки и синяки с кровью
где, блять, встречать этот гребанный нг? понятия не имею(((	Где встречать новый год? Не знаю
где, блять, встречать этот гребанный нг? понятия не имею(((	Ребят подскажите где встречать новый год?
где, блять, встречать этот гребанный нг? понятия не имею(((	Где встречать новый год? Понятия не имею.
сюжета нет вообще нигде :( просто тупая скучная ебля :(	Сюжета нет вообще нигде
Ебатюшки, как не охото вставать(	как не охото вставать
Ебатюшки, как не охото вставать(	Господи, как не охото вставать
Ебатюшки, как не охото вставать(	Как же не охото вставать
это пизда при том что я вт ви уже пол года почти как. .:(	это капец  при том что я вт ви уже пол года почти как. .:(
это пизда при том что я вт ви уже пол года почти как. .:(	это кошмар при том что я вт ви уже пол года почти как. .:(
ПОСЛЕДНЯЯ НЕДЕЛЯ ?o_OЯ ВООБЩЕ НЕ В КУРСАХ,КОГДА У НАС КАНИКУЛЫ НАЧИНАЮТСЯ АХАХА	последняя неделя? я вообще не в курсе, когда у нас каникулы начинаются
Сорвалась и сожрала шоколадку..безвольное чмо(	Сорвалась и съела шоколадку. Безвольная
Сорвалась и сожрала шоколадку..безвольное чмо(	сорвалась и съела шоколадку. я плохая .
Сорвалась и сожрала шоколадку..безвольное чмо(	У меня совсем нет силы води, сорвалась и съела шоколадку.
ну понятно , теперь никаких наказаний эти пидоры не понесут!! :((	Ну понятно, теперь никаких наказаний они не понесут.
ну понятно , теперь никаких наказаний эти пидоры не понесут!! :((	Ну понятно, теперь никаких наказаний эти люди не понесут!!!
Я случайно обновила инстаграм... Я случайно обновила инстаграм... Я БЛЯДЬ СЛУЧАЙНО ОБНОВИЛА ЭТОТ ЕБУЧИЙ ИНСТАГРАМ ДО НОВОЙ ВЕРСИИ! АААААА!((	Я случайно обновила инстаграмм до новой версии.
бляяяязабылуроки женадо делать сукабесит :|	Забыл про уроки,  надо делать, злюсь
бляяяязабылуроки женадо делать сукабесит :|	Забыл,уроки же надо делать,бесит:
написала Гарри о том какая же хуйня этот третий сезон,а он вышел :(	написала Гарри о том какой же не интересный  этот третий сезон,а он вышел :(
написала Гарри о том какая же хуйня этот третий сезон,а он вышел :(	Написала Гарри от том как плох этот третий сезон,а он вышел :(
, ахахах, вы вообще козлы, я еще ни один рейтинговый матч не сыграла :(	ахаха, я еще ни один рейтинговый матч не сыграла
, ахахах, вы вообще козлы, я еще ни один рейтинговый матч не сыграла :(	, я еще ни один рейтинговый матч не сыграла :(
вообще че то пиздец.Хуйпоймические дни пошли какие-то!:(	Начались тяжёлые дни
вообще че то пиздец.Хуйпоймические дни пошли какие-то!:(	Какие-то дни пошли не очень
Шкура попросила съездить с ней за угами,сука бл(((	попросила съездить с ней за угами
Шкура попросила съездить с ней за угами,сука бл(((	девушка попросила съездить с ней за угами
Шкура попросила съездить с ней за угами,сука бл(((	Она попросила съездить с ней за угами
Скучила  , но хуй знает увижу ли я её ещё когда-то(	Скучила, но не знаю увижу ли я её ещё когда-то(
Скучила  , но хуй знает увижу ли я её ещё когда-то(	Не знаю увижу ли я её ещё когда-то
бля, самых кошерных забираешь :(	Самых лучших забираешь.
бля, самых кошерных забираешь :(	Самых лучших забираешь
пиздец оладушкам.......... КОНТРОЛЬНАЯ ПО ГЕОГРАФИИ:((((((((	Ого ,контрольная по географии
пиздец оладушкам.......... КОНТРОЛЬНАЯ ПО ГЕОГРАФИИ:((((((((	Начинается контрольная по географии
Бля,походу по русскому выходит,вот бля,исправлять надо как-то:(	по русскому плохая оценка выходит, нужно исправлять
Бля,походу по русскому выходит,вот бля,исправлять надо как-то:(	походу по русскому выходит,вот исправлять надо как-то:(
Пиздец..Новость очень огорчила :(ПОМНИМ ЛЮБИМ СКОРБИМ. .	Кошмар. Новость очень огорчила. Помним  любим скорбим
Ленька, ну плизки, не шли меня больше нахуй(((9(	Ленька, ну плизки, не шли меня больше
чувак сказал ,что ему просто не нравится AC/DC,  а его обосрали,   ибо думают,что больше групп нет круче.бля,очнитесь! :|	человек сказал ,что ему просто не нравится AC/DC,  а его обругали,   ибо думают,что больше групп нет круче очнитесь! :|
чувак сказал ,что ему просто не нравится AC/DC,  а его обосрали,   ибо думают,что больше групп нет круче.бля,очнитесь! :|	Человек сказал что ему не нравится CA/DC, а его грязью облили. Думают что групп нет круче, очнитесь!
пиздец в городе. стою в пробке у жд вокзала уже 40 мин ((((	в городе. стою в пробке у жд вокзала уже 40 мин ((((
пиздец в городе. стою в пробке у жд вокзала уже 40 мин ((((	Ужас в городе, стою в пробке у жд вокзала уже 40 мин
пиздец в городе. стою в пробке у жд вокзала уже 40 мин ((((	В городке пробки и я стою у жд вокзала уже 40 минут
..ТОООООЧНО!СПАСИБИЩЕ, ТЫ НАПОМНИЛА МНЕ ПРО МОИ ЗАНАЧКИ, ПОЙДУ ЖРАТЬ	Точно, спасибо большое, ты напомнила мне про мои запасы, пойду есть
"я блять самый ""счастливый"" и ""удачный"" человек в мире...("	Я самый счастливый и удачный человек в мире... (
"я блять самый ""счастливый"" и ""удачный"" человек в мире...("	"Я самый ""счастливый"" и ""удачный"" человек в мире...("
опять не попала на концерт  в минск, ну пиздец:(	опять не попала на концерт в минск , как жаль
пиздец.Все хорошо? Не ушиблась?(	блин.все хорошо? Не ушиблась?(
пиздец.Все хорошо? Не ушиблась?(	Все хорошо? Не ушиблась?(
проще сдохнуть, чем выучить весь этот пиздец по биологии:(	Проще умереть чем выучить  весь этот материал по биологии
проще сдохнуть, чем выучить весь этот пиздец по биологии:(	проше умереть чем выучить это всё по биологии
хотели встретить..встретили(мудак..как так можно..фу я в шоке кароч	хотели встретить..встретили(.как так можно..фу я в шоке кароч
Маленький засранец, отбил у меня парня(( Припомню тебе!	отбил у меня парня(( Припомню тебе!
“ Пизда с английским” у меня тоже(	У меня никак с английским тоже
“ Пизда с английским” у меня тоже(	всё плохо с английским, у меня тоже
“ Пизда с английским” у меня тоже(	“ Проблемы с английским” у меня тоже(
У меня нет настроения и идите вы на хуй все:(((	у меня плохое настроение, не трогайте меня пожалуйста
Я такая не везучая(((( ей насрать на меня. Может и мне стать похуйстом??!!	Я такая не везучая(((( ей безразницы на меня. Может и мне стать хладнокровным??!!
Я такая не везучая(((( ей насрать на меня. Может и мне стать похуйстом??!!	Я такая не везучая. Ей все равно на меня. Может и мне быть безразличной
бля делать ваще не хуй(((мне дома еще 3 часа сидеть((((	Делать совсем нечего мне дома сидеть ещё 3 часа
бля делать ваще не хуй(((мне дома еще 3 часа сидеть((((	Мне дома нужно посидеть ещё три часа, нечего делать
бля делать ваще не хуй(((мне дома еще 3 часа сидеть((((	Делать вообще нечего,мне дома ещё 3 часа сидеть
чет я тоже начинаю болеть, хуйня дело, хуйня.((	Чёт я тоже начинаю болеть,плохо дело плохо
чет я тоже начинаю болеть, хуйня дело, хуйня.((	Что-то я начинаю болеть.
чет я тоже начинаю болеть, хуйня дело, хуйня.((	Что то я тоже начинаю болеть, плохо дело.
Я тут проклинаю инспектора Калинина. Это ж надо какой мудак он;(	Я тут проклинаю инспектора Калинина. Это же надо таким быть.
Я тут проклинаю инспектора Калинина. Это ж надо какой мудак он;(	Я тут вспоминаю инспектора Калинина. Это ж надо какой не хороший человек он;(
БЛЯ ЗА ТЕБЯ БОЮСЬ :(	Я за тебя боюсь
БЛЯ ЗА ТЕБЯ БОЮСЬ :(	Я за тебя боюсь
БЛЯ ЗА ТЕБЯ БОЮСЬ :(	За тебя боюсь:(
Я переживаю, что все уйдут. Переживаю, что останусь только я и еще кучка уебанов, с которыми мне придется работать. Это меня расстраивает:(	Я переживаю, что все уйдут. Переживаю, что останусь только я и ещё кучка людей, с которыми мне придется работать. Это меня расстраивает:(
Когда же я,тварь,наконец пару то себе найду. =(	Когда же я наконец пару то себе найду. =(
Когда же я,тварь,наконец пару то себе найду. =(	Когда же я, безнадёжность, пару то себе найду
Когда же я,тварь,наконец пару то себе найду. =(	Когда же я себе пару то найду ?
визажисты настолько уёбищно меня накрасили, что Катя стебёт это желтушное лицо и хаче-брови уже целый час(	визажисты настолько плохо меня накрасили , что Катя шутит уже целый час
визажисты настолько уёбищно меня накрасили, что Катя стебёт это желтушное лицо и хаче-брови уже целый час(	визажисты настолько плох меня накрасили, что Катя смеется это желтое лицо и жирные брови уже целый час
визажисты настолько уёбищно меня накрасили, что Катя стебёт это желтушное лицо и хаче-брови уже целый час(	Визажисты настолько плохо меня накрасили ,что Катя насмехается над моим макияжем уже целый час
Умотан пиздец(( ноги еще болят ааа.. Скорее завтра	Устал, ноги болят. Быстрее бы завтра.
Умотан пиздец(( ноги еще болят ааа.. Скорее завтра	Умотан очень(( ноги еще болят ааа.. Скорее завтра
Умотан пиздец(( ноги еще болят ааа.. Скорее завтра	Устал. Ноги болят. Скорее бы завтра
я уже заебался! Я отдыхать хочу, все, каникулы!! Когдааа?!! ;(((	Я уже устал! Я отдыхать хочу все каникулы! Когда?
я уже заебался! Я отдыхать хочу, все, каникулы!! Когдааа?!! ;(((	когда ж каникулы настанут отдыхать хочу
Это такое ебаное чувство,когда ты не сдал зачет по физике и начались какие-то всякие хуйпоймические проблемы:((	Это такое плохое чувство, когда ты не сдал зачет по физике и начались какие-то всякие невероятные проблемы
Это такое ебаное чувство,когда ты не сдал зачет по физике и начались какие-то всякие хуйпоймические проблемы:((	"Это очень не хорошее чувство,когда ты не сдал зачет по физике и начались какие-то всякие 
 проблемы:(("
что там?пиздюки?!Че мне там ловить?(	Что там?  Что мне там ловить?
что там?пиздюки?!Че мне там ловить?(	Что мне так делать?
что там?пиздюки?!Че мне там ловить?(	что там,малолетки?что мне там ловить?
надейся:(Что то эта сука за ленты не звонит	надейся:(Что-то она за ленты не звонит
НИНАВИЖУ УЧИЦЦО!!!(((((((((((99999((9	Не люблю учиться
СУКА ЗАВИДУЮ БЛЯТЬ НАХУЙ :(((((((((((((((((((((((((((((((	Я завидую.
СУКА ЗАВИДУЮ БЛЯТЬ НАХУЙ :(((((((((((((((((((((((((((((((	Я завидую сильно
"""и бля не хуя я ей не верел не когда !!!""Бля, ну столько ошибок я еще не видел(( хотяя"	И ведь я ей не верил никогда
"""и бля не хуя я ей не верел не когда !!!""Бля, ну столько ошибок я еще не видел(( хотяя"	И я не верил ей никогда
"""и бля не хуя я ей не верел не когда !!!""Бля, ну столько ошибок я еще не видел(( хотяя"	Я ей никогда не верил
ты ебаный мазохист.. себе же хуже делаешь(	себе же хуже делаешь(
ты ебаный мазохист.. себе же хуже делаешь(	ты  мазохист. себе же хуже делаешь(
МАМАН ЗАПАЛИЛА МОЙ ТВИ С МАТАМИ И ФРЭРАРД, А ТИПИРЬ НЕ РАЗРИШАИТ ТУТ СИДЕТЬ(((	Мама прочитала мою переписку в соц сетях и теперь запретила там сидеть.
мне кажется,что джаред лето пошлет меня на хуй с такими идеями :(	мне кажется,что джаред лето пошлет меня куда подальше с такими идеями:(
мне кажется,что джаред лето пошлет меня на хуй с такими идеями :(	мне кажется,что Джареду лето не понравятся такие идеи
но нахой пиздеть было?77(9(((	но зачем это говорить надо было
но нахой пиздеть было?77(9(((	Зачем нужно было говорить неправду?
Упасть с сиденья, потом встать и пиздануться бошкой об потолок? Ну Авдюха же :(	Упасть с сиденья, потом встать и упасть головой об потолок? Ну Авдюха же
Упасть с сиденья, потом встать и пиздануться бошкой об потолок? Ну Авдюха же :(	Упасть с сиденья, потоп в кать и стукнуть я головой об потолок? Ну Авдюха же.
Упасть с сиденья, потом встать и пиздануться бошкой об потолок? Ну Авдюха же :(	Упасть с сиденья, потом встать и удариться головой об потолок? Ну Авдюха же :(
да жопа кароч меня отъебали и выебали по полной программе;((((	Да печально, короче, мне устроили экзекуцию по полной программе...
привет, пиздец, в этом году ты рановато... я думала хоть неделька еще есть(	привет, в этом году ты рановато... я думала хоть неделька еще есть(
привет, пиздец, в этом году ты рановато... я думала хоть неделька еще есть(	Привет, в этом году рановато... Я думала, что хоть неделька еще есть...
ДА ЗА ЧТО ВСЕ ХОТЯТ МНЕ ПИЗДЫ ДАТЬ? БЛЯТЬ НЕ ЖАЛКО ЧТО ЛИ?ВСЕ Я ОБИДЕЛСЯ НА ВАС :(	Да за что все на меня кидаются? Не жалко чтоли? Всё я обиделся на вас
Ну какого ж хуя, когда так надо, никогошеньки рядом то и нет ((	Ну почему, когда так надо, никогошеньки рядом то и нет ((
Ну какого ж хуя, когда так надо, никогошеньки рядом то и нет ((	Ну какого ж , когда так надо, никогошеньки рядом то и нет ((
пришлось снять одну мишуру(( настроения пизда	Пришлось снять одну мишуру(( настроение ужас
пришлось снять одну мишуру(( настроения пизда	пришлось снять одну мишуру(( настроения плохое
пришлось снять одну мишуру(( настроения пизда	Пришлось снять одну мишуру ,настроения совсем нет
дааа(( доигрался хуй на скрипке((	Да, доигрался
Вчера все про Колю-пиздабола постили, сегодня это(	Вчера все про Колю постили, сегодня это
вот каждый день узнаю,кто в классе на кого в тихую пиздитвы че такие крысы то?:(	вот каждый день узнаю,кто в классе на кого в тихую ябедничает
вот каждый день узнаю,кто в классе на кого в тихую пиздитвы че такие крысы то?:(	Вот каждый день узнаю, кто в классе на кого в тихую говорит , что вы такие нехорошие то ?
вот каждый день узнаю,кто в классе на кого в тихую пиздитвы че такие крысы то?:(	Вот каждый день узнаю, кто в классе на кого в тихую врёте
бля сука не могу найти:(в моей ебучей флешке как всегда бардак	Не могу найти. В моей флешке всегда бардак
бля сука не могу найти:(в моей ебучей флешке как всегда бардак	Не могу найти. В моей флешке как всегда бардак
как же бесит это блять:( настроение говно..	Как же бесит это ,блин( унылое настроение
как же бесит это блять:( настроение говно..	Как же она раздражает, настроение плохое.
как же бесит это блять:( настроение говно..	Как же это раздражает
Пиздец, ты только в 8 классе,а уже 8 парней. Ты ебанутая какая-то. — Ах, чтож поделать :(	Ты только в 8 классе, а у тебя столько парней. Ну так получилось.
Пиздец, ты только в 8 классе,а уже 8 парней. Ты ебанутая какая-то. — Ах, чтож поделать :(	только в 8 классе,а уже 8 парней.— Ах, чтож поделать :(
Бляяяяя, ну и денёк... И сука это еще не всё :((	Сложный день ещё не закончился
именно сейчас приспичило посмотреть в окно!!!! сука... я плачу((	именно сейчас приспичило посмотреть в окно!!!! я плачу((
именно сейчас приспичило посмотреть в окно!!!! сука... я плачу((	именно сейчас приспичило посмотреть в окно!!!! я плачу((
именно сейчас приспичило посмотреть в окно!!!! сука... я плачу((	Именно сейчас приспичило посмотреть в окно, блин, я плачу
Сука, никуда не хочу из теплой уютной кроватки :(	Никуда не хочу идти из тёплой уютной кроватки
Сука, никуда не хочу из теплой уютной кроватки :(	Никуда не хочу из тёплой уютной кроватки
Сука, никуда не хочу из теплой уютной кроватки :(	Никуда не хочу из теплой уютной кроватки:(
Виталика в армию забирают (а я тварина не могу уйти с урока	Виталика в армию забирают, а я не могу с урока уйти
Виталика в армию забирают (а я тварина не могу уйти с урока	Виталика в армию забираю (а я даже не могу уйти с урока
не эва норм, татьяна блядина ;(	не эва норм, татьяна невежда
вот пидор, а((	Вот не хороший человек, а ((
@ мне откажут, дадут пизды и заставят убрать всю квартиру (((((((	Мне откажут, накажут и заставят убирать квартиру
@ мне откажут, дадут пизды и заставят убрать всю квартиру (((((((	Мне откажут, накажут и заставят убрать всю квартиру
#ERROR!	Лучше не будем ругаться друг на друга. А ты расскажешь как ты?
Такой пиздец на душе творится, что словами не передать!((	Словами не передать что надуше
Такой пиздец на душе творится, что словами не передать!((	На душе кошки скребут
Такой пиздец на душе творится, что словами не передать!((	На душе не понятно что творится
ебучая фольга в шоколадке... тихо открыть не получится((	проклятая фольга в шоколадке... тихо открыть не получится
ебучая фольга в шоколадке... тихо открыть не получится((	Шоколад с фольгой тихо открыть не получится
ебучая фольга в шоколадке... тихо открыть не получится((	Ужасная фольга в шоколадке… тихо открыть не получится(((
"Пиздец это же надо так с мамой поругаться:""""""(("	Кошмар, это ж надо так с мамой поругаться
"Пиздец это же надо так с мамой поругаться:""""""(("	"это же надо так с мамой поругаться:"""""""
"Пиздец это же надо так с мамой поругаться:""""""(("	Это же надо так с мамой поругаться
чо я вам сделал, бляди?((	Что я вам сделал?
чо я вам сделал, бляди?((	что я вам сделал
чо я вам сделал, бляди?((	чо я вам сделал?((
Это пиздец ((( и шо теперь делать ???	Это конец(((и шо теперь делать???
Это пиздец ((( и шо теперь делать ???	Кошмар, и что же делать?
АГАГАГАГАГА, МЕНЯ ТОКОМ ЕБНУЛО (((((99*(Ывы9	Меня током ударило.
Ебал я в рот эти синусы и косинусы,надоело уже решать((	достали уже эти синусы и косинусы,надоело уже решать
Ебал я в рот эти синусы и косинусы,надоело уже решать((	Надоело решать синусы и косинусы
ну ептыть, уже все мой ебальничек видели(((	Уже все видели мое лицо
ну ептыть, уже все мой ебальничек видели(((	ну вот уже все моё личико видели(((
сучка((ты тож попробуй, ага	ты тож попробуй, ага
сучка((ты тож попробуй, ага	ты тож попробуй, ага
Делаю укр. мову((((Настроения ноль, устала просто пиздец	как же я устала выполнять укр мову
Делаю укр. мову((((Настроения ноль, устала просто пиздец	Делаю укр. мову( Настроения ноль, очень сильно устала
ты заебал, мне ходить пе в чем(((((((	ты надоел, мне ходить пе в чем(((((((
ты заебал, мне ходить пе в чем(((((((	Мне не в чем ходить.
ты заебал, мне ходить пе в чем(((((((	Ты надоел, мне ходить не в чем
пиздец. а мы ведь были почти женаты...(((	А мы ведь были почти женаты...(((
пиздец. а мы ведь были почти женаты...(((	А мы ведь были почти женаты...(((
пиздец. а мы ведь были почти женаты...(((	Надо же... А мы ведь были почти женаты...
как же меня заебала физика!! 14 часов в неделю, пиздец!! что еще можно сказать(	как мне надоела физика. 14 часов в неделю. что еще можно сказать.
как же меня заебала физика!! 14 часов в неделю, пиздец!! что еще можно сказать(	Устал от Физики! 14 часов в неделю - слишком утомительно! Что ещё можно сказать... (
сука надоел этот интернет((	Надоел интернет
сука надоел этот интернет((	Надоел интернет...
сука надоел этот интернет((	надоел этот интернет((
вот жопа бурундучья!тортик он хавал,а мне пока что нельзя тортик(	тортик он хавал,а мне пока что нельзя тортик(
Хотела выебнуться фоткой с гирляндой, в место этого прижгла шею и запутала ее:_(	Хотела выпендрится фоткой с гирляндой, в место этого прижгла шею и запутала ее:_(
Хотела выебнуться фоткой с гирляндой, в место этого прижгла шею и запутала ее:_(	Хотела  фотку с гирляндой, в место этого прижгла шею и запутала ее:_(
Хотела выебнуться фоткой с гирляндой, в место этого прижгла шею и запутала ее:_(	Хотела покрасоваться фоткой с гирляндой, вместо этого прижгла шею и запутала ее
сейчас я опять стала жирным хуйлом, поэтому перед праздниками нужно разгруз сделать и сдерживать себя :( пиздец, так обидно	Сейчас я опять поправилась, поэтому перед праздниками нужно разгруз сделать и сдерживать себя.Так обидно
сейчас я опять стала жирным хуйлом, поэтому перед праздниками нужно разгруз сделать и сдерживать себя :( пиздец, так обидно	Сейчас я опять стала толстой.поэтому перед праздниками нужно разгруз сделать и сдерживать себя( очень обидно
ДАЖЕ ТОТ КОТОРЫЙ Я КУПИЛ?!?! ты че бля( я уже умираю от нетерпения!НУ И ХУЙ ТЕБЕ ТОЖЕ А НЕ ПОДАРОК МУХАХА хотя ты не просил(	Я очень хочу побыстрей получить подарок, но если не будет, то и тебе не подарю.
ДАЖЕ ТОТ КОТОРЫЙ Я КУПИЛ?!?! ты че бля( я уже умираю от нетерпения!НУ И ХУЙ ТЕБЕ ТОЖЕ А НЕ ПОДАРОК МУХАХА хотя ты не просил(	ДАЖЕ ТОТ КОТОРЫЙ Я КУПИЛ?!?! ты че( я уже умираю от нетерпения!НУ И ШИШ ТЕБЕ ТОЖЕ А НЕ ПОДАРОК МУХАХА хотя ты не просил(
КАК ПУЛЯ РЕЗКАЯ, МНЕ ТЕПЕРЬ ДАЖЕ СТЕРЖЕНЬ ОТ РУЧКИ НЕ ДОВЕРЯТ:(	Мне теперь даже стержень от ручки не доверят
КАК ПУЛЯ РЕЗКАЯ, МНЕ ТЕПЕРЬ ДАЖЕ СТЕРЖЕНЬ ОТ РУЧКИ НЕ ДОВЕРЯТ:(	Она резкая, мне теперь даже стержень от ручки не доверят
Нога не пиздецки болит( Настя, ну ебаный в рот, ты че так не аккуратно?	Нога сильно болит ( Настя, ты че так не аккуратно?
Нога не пиздецки болит( Настя, ну ебаный в рот, ты че так не аккуратно?	Нога очень болит. Настя ну ты че так неаккуратно?
у меня голос пропал...СУКА ОН КИНУЛ МЕНЯ УРОД! как же я без него то?(	у меня голос пропал...ОН КИНУЛ МЕНЯ  как же я без него то?(
у меня голос пропал...СУКА ОН КИНУЛ МЕНЯ УРОД! как же я без него то?(	У меня голос пропал.. Он кинул меня! Как же я без него?
АААААУ МЕНЯ АЛЛЕРГИЯ НА МАНДАРИНКИ И ШОКОЛАДНУ ТЫ КОНЕЧНО УМЕЕШЬ СЛАБЫЕ ТОЧКИ НАХОДИТЬ,ПОДЛЕЦ((	АААААУ МЕНЯ АЛЛЕРГИЯ НА МАНДАРИНКИ И ШОКОЛАДНУ ТЫ КОНЕЧНО УМЕЕШЬ СЛАБЫЕ ТОЧКИ НАХОДИТЬ,
психанула вчера и заказала роллов, обожралась как сукааа, теперь думаааю зачем я деньги просрала хах((	Психанула вчера и заказала роллов, объелась, теперь думаю зачем я деньги потратила хах ((
психанула вчера и заказала роллов, обожралась как сукааа, теперь думаааю зачем я деньги просрала хах((	Психанула вчера и заказала роллов. Обьелась. Теперь думаю зачем я деньги потратила.
Тянку в этих ваших интернетах найти нереально. Впрочем как и в реале. Все какие-то дохуя высокомерные, эх :(	Девушку в этих ваших интернетах найти нереально. Впрочем как и в реале. Все какие-то очень высокомерные, эх :(
Тянку в этих ваших интернетах найти нереально. Впрочем как и в реале. Все какие-то дохуя высокомерные, эх :(	Тянку в этих ваших интернетах найти нереально. Впрочем как и в реале. Все какие-то  высокомерные, эх :(
Тянку в этих ваших интернетах найти нереально. Впрочем как и в реале. Все какие-то дохуя высокомерные, эх :(	девушку в интернете найти невозможно, впрочем как и в жизни. все с высокой самооценкой.
плохо мне Викуша,температура 38,5 и голова пиздец как болит:(я ей еле шевелю,пиздец короче мне пришёл	плохо мне Викуша,температура 38,5 и голова   болит:(я ей еле шевелю
бляяяяяять сууууууука,как так то  нахуй(((((((	как так получилось
Ебаать голова болит:( что это? Перетрудилась? АХАХАХ. додо	Очень голова болит:(что это? Перетрудилась? АХАХАХ. Додо
Ебаать голова болит:( что это? Перетрудилась? АХАХАХ. додо	голова болит, перетрудилась?
Ебаать голова болит:( что это? Перетрудилась? АХАХАХ. додо	Голова болит что это ? Перетрудилась ? Ахах
неделю( ужаааасно... 3 месяца в жопу(	неделю( ужаааасно... 3 месяца напрасно
неделю( ужаааасно... 3 месяца в жопу(	неделю( ужаааасно... 3 месяца в никуда
Мир несправедлив:( я ненавижу свою спину тттт не.на.ви.жу. сука, отвались нахуй.	Мир несправедлив,не люблю свою спину ,отвались
И вообще, где этот пидр, без него скучно((9	Без него скучно
И вообще, где этот пидр, без него скучно((9	И вообще где он, без него скучно
И вообще, где этот пидр, без него скучно((9	И вообще, где этот человек, без него скучно
сама еблан, я просто злой, когда злой((	Сама такая, я просто злой, когда злой
Сука эти тупые головы не такого-же мнения как я:(	эти люди не такого-же мнения так и я
Сука эти тупые головы не такого-же мнения как я:(	Они не такого де мнения как и я .
Сука эти тупые головы не такого-же мнения как я:(	Эти люди не согласны с моим мнением
Дома холоднооооооо*(Что за пиздец-то???*(	дома холодно , что за ужас
Дома холоднооооооо*(Что за пиздец-то???*(	что ж так холодно дома
давайте я просто ебну грустный смайлик, что тип мне хуево?=_(((((((((((((((((((((((((((((((((((((((	Давайте я просто поставлю грустный смвйлик ,что типо мне плохо ?
